행정구역,2026년04월_계_총인구수,2026년04월_계_연령구간인구수,2026년04월_계_0~9세,2026년04월_계_10~19세,2026년04월_계_20~29세,2026년04월_계_30~39세,2026년04월_계_40~49세,2026년04월_계_50~59세,2026년04월_계_60~69세,2026년04월_계_70~79세,2026년04월_계_80~89세,2026년04월_계_90~99세,2026년04월_계_100세 이상,2026년04월_남_총인구수,2026년04월_남_연령구간인구수,2026년04월_남_0~9세,2026년04월_남_10~19세,2026년04월_남_20~29세,2026년04월_남_30~39세,2026년04월_남_40~49세,2026년04월_남_50~59세,2026년04월_남_60~69세,2026년04월_남_70~79세,2026년04월_남_80~89세,2026년04월_남_90~99세,2026년04월_남_100세 이상,2026년04월_여_총인구수,2026년04월_여_연령구간인구수,2026년04월_여_0~9세,2026년04월_여_10~19세,2026년04월_여_20~29세,2026년04월_여_30~39세,2026년04월_여_40~49세,2026년04월_여_50~59세,2026년04월_여_60~69세,2026년04월_여_70~79세,2026년04월_여_80~89세,2026년04월_여_90~99세,2026년04월_여_100세 이상
서울특별시  (1100000000),"9,298,673","9,298,673","455,648","719,027","1,239,522","1,467,418","1,357,334","1,464,286","1,318,622","845,655","371,689","58,015","1,457","4,477,462","4,477,462","234,006","366,300","578,643","732,780","670,811","719,694","625,746","380,725","151,718","16,725",314,"4,821,211","4,821,211","221,642","352,727","660,879","734,638","686,523","744,592","692,876","464,930","219,971","41,290","1,143"
서울특별시 종로구 (1111000000),"136,716","136,716","5,013","9,186","20,011","19,921","18,033","22,594","21,009","12,787","6,868","1,260",34,"65,420","65,420","2,570","4,470","9,267","9,927","8,635","11,066","10,442","5,921","2,713",397,12,"71,296","71,296","2,443","4,716","10,744","9,994","9,398","11,528","10,567","6,866","4,155",863,22
서울특별시 중구 (1114000000),"117,760","117,760","4,846","5,844","15,534","21,258","16,116","17,756","17,822","11,697","5,822","1,043",22,"56,561","56,561","2,475","2,914","6,917","10,593","8,066","8,933","8,787","5,381","2,212",277,6,"61,199","61,199","2,371","2,930","8,617","10,665","8,050","8,823","9,035","6,316","3,610",766,16
서울특별시 용산구 (1117000000),"200,187","200,187","9,754","12,658","25,809","37,005","28,857","31,536","27,994","16,350","8,522","1,644",58,"95,104","95,104","4,943","6,433","11,390","17,973","14,229","15,289","13,674","7,400","3,251",503,19,"105,083","105,083","4,811","6,225","14,419","19,032","14,628","16,247","14,320","8,950","5,271","1,141",39
서울특별시 성동구 (1120000000),"274,917","274,917","15,631","17,309","37,546","48,384","39,477","42,728","38,508","22,737","10,910","1,658",29,"132,590","132,590","8,022","8,479","17,897","23,750","19,818","20,876","18,823","10,250","4,226",443,6,"142,327","142,327","7,609","8,830","19,649","24,634","19,659","21,852","19,685","12,487","6,684","1,215",23
서울특별시 광진구 (1121500000),"331,029","331,029","13,339","22,920","54,349","56,926","45,871","50,720","45,938","27,153","11,891","1,877",45,"158,364","158,364","6,823","11,548","24,795","28,268","22,391","24,623","22,088","12,317","4,966",532,13,"172,665","172,665","6,516","11,372","29,554","28,658","23,480","26,097","23,850","14,836","6,925","1,345",32
서울특별시 동대문구 (1123000000),"351,656","351,656","17,796","23,432","55,527","55,627","48,250","52,672","48,980","31,849","15,260","2,211",52,"171,281","171,281","9,093","11,812","25,939","28,205","24,668","26,458","23,959","14,414","6,058",663,12,"180,375","180,375","8,703","11,620","29,588","27,422","23,582","26,214","25,021","17,435","9,202","1,548",40
서울특별시 중랑구 (1126000000),"376,570","376,570","16,266","22,983","44,348","59,098","50,362","61,139","64,451","38,924","16,565","2,373",61,"183,773","183,773","8,274","11,803","20,829","30,088","26,204","30,170","31,215","17,835","6,702",643,10,"192,797","192,797","7,992","11,180","23,519","29,010","24,158","30,969","33,236","21,089","9,863","1,730",51
서울특별시 성북구 (1129000000),"422,452","422,452","21,169","34,252","62,224","56,970","59,173","70,503","58,633","37,872","18,689","2,899",68,"201,576","201,576","10,937","17,150","28,914","28,452","29,211","34,541","27,591","16,634","7,305",826,15,"220,876","220,876","10,232","17,102","33,310","28,518","29,962","35,962","31,042","21,238","11,384","2,073",53
서울특별시 강북구 (1130500000),"278,520","278,520","9,391","17,835","33,732","34,323","35,819","48,392","47,776","32,837","16,205","2,165",45,"133,827","133,827","4,781","9,013","15,566","17,982","18,714","23,919","22,755","14,169","6,274",645,9,"144,693","144,693","4,610","8,822","18,166","16,341","17,105","24,473","25,021","18,668","9,931","1,520",36
서울특별시 도봉구 (1132000000),"298,839","298,839","11,547","21,039","32,676","37,090","39,175","51,584","53,305","33,971","15,947","2,432",73,"144,125","144,125","5,986","10,933","15,971","19,043","19,721","24,837","24,943","15,598","6,391",685,17,"154,714","154,714","5,561","10,106","16,705","18,047","19,454","26,747","28,362","18,373","9,556","1,747",56
서울특별시 노원구 (1135000000),"482,097","482,097","22,628","43,940","60,257","61,403","68,285","83,019","72,371","45,782","20,746","3,580",86,"230,465","230,465","11,628","22,693","30,270","31,047","32,735","39,805","33,526","20,162","7,652",931,16,"251,632","251,632","11,000","21,247","29,987","30,356","35,550","43,214","38,845","25,620","13,094","2,649",70
서울특별시 은평구 (1138000000),"453,550","453,550","19,954","33,224","54,820","66,824","63,826","76,308","69,113","44,876","21,409","3,123",73,"214,346","214,346","10,299","16,861","25,433","32,535","31,461","36,716","32,085","19,481","8,515",939,21,"239,204","239,204","9,655","16,363","29,387","34,289","32,365","39,592","37,028","25,395","12,894","2,184",52
서울특별시 서대문구 (1141000000),"300,395","300,395","14,907","21,896","44,731","45,353","41,794","47,479","41,925","26,180","13,845","2,233",52,"141,593","141,593","7,625","10,814","20,240","22,295","20,547","22,952","19,758","11,360","5,309",683,10,"158,802","158,802","7,282","11,082","24,491","23,058","21,247","24,527","22,167","14,820","8,536","1,550",42
서울특별시 마포구 (1144000000),"356,894","356,894","17,967","25,716","53,961","64,601","54,193","55,740","42,712","26,041","13,632","2,280",51,"165,611","165,611","9,225","12,816","23,199","30,299","26,059","26,966","20,127","11,037","5,192",681,10,"191,283","191,283","8,742","12,900","30,762","34,302","28,134","28,774","22,585","15,004","8,440","1,599",41
서울특별시 양천구 (1147000000),"422,900","422,900","22,422","45,777","45,475","51,656","68,862","71,361","62,387","38,479","14,141","2,273",67,"205,756","205,756","11,522","23,619","22,702","25,667","33,100","35,289","29,662","17,918","5,703",564,10,"217,144","217,144","10,900","22,158","22,773","25,989","35,762","36,072","32,725","20,561","8,438","1,709",57
서울특별시 강서구 (1150000000),"548,716","548,716","26,206","39,839","70,279","96,449","81,260","81,071","78,845","51,344","19,926","3,399",98,"261,899","261,899","13,470","20,353","31,176","47,940","40,844","39,744","36,232","23,200","8,027",899,14,"286,817","286,817","12,736","19,486","39,103","48,509","40,416","41,327","42,613","28,144","11,899","2,500",84
서울특별시 구로구 (1153000000),"382,718","382,718","19,153","26,818","45,288","61,624","54,190","59,694","57,876","39,501","16,284","2,248",42,"186,886","186,886","9,840","13,558","21,587","31,444","27,736","29,738","27,485","17,948","6,888",656,6,"195,832","195,832","9,313","13,260","23,701","30,180","26,454","29,956","30,391","21,553","9,396","1,592",36
서울특별시 금천구 (1154500000),"222,726","222,726","8,122","11,937","31,107","39,993","27,372","34,548","37,089","22,000","9,257","1,277",24,"111,777","111,777","4,135","6,066","14,742","21,948","14,795","17,321","18,401","10,157","3,845",361,6,"110,949","110,949","3,987","5,871","16,365","18,045","12,577","17,227","18,688","11,843","5,412",916,18
서울특별시 영등포구 (1156000000),"371,471","371,471","19,502","22,332","52,085","74,788","51,862","53,713","49,069","31,288","14,458","2,320",54,"181,073","181,073","9,932","11,480","23,077","37,492","26,583","27,038","24,331","14,360","6,016",752,12,"190,398","190,398","9,570","10,852","29,008","37,296","25,279","26,675","24,738","16,928","8,442","1,568",42
서울특별시 동작구 (1159000000),"372,250","372,250","17,119","25,098","59,337","62,130","50,585","56,340","49,938","33,526","15,732","2,393",52,"179,606","179,606","8,798","12,858","28,205","31,701","25,442","27,459","23,214","14,619","6,567",731,12,"192,644","192,644","8,321","12,240","31,132","30,429","25,143","28,881","26,724","18,907","9,165","1,662",40
서울특별시 관악구 (1162000000),"478,144","478,144","13,592","23,866","101,354","94,527","57,306","64,154","59,866","41,889","19,159","2,385",46,"240,211","240,211","6,893","12,006","48,406","52,786","31,021","33,039","28,666","18,561","8,076",750,7,"237,933","237,933","6,699","11,860","52,948","41,741","26,285","31,115","31,200","23,328","11,083","1,635",39
서울특별시 서초구 (1165000000),"414,999","414,999","26,321","45,808","47,403","57,474","71,070","68,642","48,876","33,183","13,897","2,258",67,"197,052","197,052","13,624","23,036","22,371","26,697","32,756","33,675","22,880","14,923","6,322",752,16,"217,947","217,947","12,697","22,772","25,032","30,777","38,314","34,967","25,996","18,260","7,575","1,506",51
서울특별시 강남구 (1168000000),"553,260","553,260","31,530","63,697","61,668","79,568","99,277","88,571","63,442","45,132","17,458","2,823",94,"264,081","264,081","16,264","33,129","28,867","37,400","45,237","44,261","29,819","20,158","8,083",842,21,"289,179","289,179","15,266","30,568","32,801","42,168","54,040","44,310","33,623","24,974","9,375","1,981",73
서울특별시 송파구 (1171000000),"650,447","650,447","39,717","57,719","75,289","107,019","105,090","98,826","88,622","55,190","19,550","3,334",91,"311,272","311,272","20,339","29,184","35,100","51,234","50,561","47,838","41,478","25,947","8,631",939,21,"339,175","339,175","19,378","28,535","40,189","55,785","54,529","50,988","47,144","29,243","10,919","2,395",70
서울특별시 강동구 (1174000000),"499,460","499,460","31,756","43,902","54,712","77,407","81,229","75,196","72,075","45,067","15,516","2,527",73,"243,213","243,213","16,508","23,272","25,783","38,014","40,277","37,141","33,805","20,975","6,794",631,13,"256,247","256,247","15,248","20,630","28,929","39,393","40,952","38,055","38,270","24,092","8,722","1,896",60
부산광역시  (2600000000),"3,235,361","3,235,361","166,618","266,138","332,238","388,058","456,410","525,494","551,990","373,190","152,894","21,856",475,"1,571,952","1,571,952","85,319","136,023","169,276","200,690","231,192","258,125","259,333","167,339","59,275","5,322",58,"1,663,409","1,663,409","81,299","130,115","162,962","187,368","225,218","267,369","292,657","205,851","93,619","16,534",417
부산광역시 중구 (2611000000),"36,397","36,397",603,"1,514","4,643","4,013","3,810","5,861","7,235","5,761","2,589",357,11,"17,617","17,617",333,723,"2,153","2,224","2,052","3,094","3,468","2,507",978,84,1,"18,780","18,780",270,791,"2,490","1,789","1,758","2,767","3,767","3,254","1,611",273,10
부산광역시 서구 (2614000000),"101,312","101,312","4,000","7,060","10,471","10,047","12,502","16,328","18,879","14,370","6,666",959,30,"48,506","48,506","2,062","3,645","5,003","5,133","6,367","8,327","8,958","6,304","2,478",223,6,"52,806","52,806","1,938","3,415","5,468","4,914","6,135","8,001","9,921","8,066","4,188",736,24
부산광역시 동구 (2617000000),"83,475","83,475","3,373","4,484","7,859","10,518","10,424","13,443","15,007","11,778","5,700",872,17,"40,510","40,510","1,753","2,276","3,690","5,514","5,581","7,033","7,276","5,120","2,061",205,1,"42,965","42,965","1,620","2,208","4,169","5,004","4,843","6,410","7,731","6,658","3,639",667,16
부산광역시 영도구 (2620000000),"100,633","100,633","3,420","6,265","8,429","8,752","11,800","16,627","20,357","16,527","7,467",974,15,"49,300","49,300","1,745","3,264","4,633","4,698","6,217","8,554","9,910","7,280","2,746",252,1,"51,333","51,333","1,675","3,001","3,796","4,054","5,583","8,073","10,447","9,247","4,721",722,14
부산광역시 부산진구 (2623000000),"365,157","365,157","18,197","24,653","46,153","54,157","48,986","55,676","58,730","39,431","16,813","2,312",49,"174,413","174,413","9,266","12,278","21,462","27,482","24,985","27,238","27,205","17,523","6,361",610,3,"190,744","190,744","8,931","12,375","24,691","26,675","24,001","28,438","31,525","21,908","10,452","1,702",46
부산광역시 동래구 (2626000000),"271,815","271,815","16,753","26,428","25,096","31,947","42,056","44,053","42,437","29,656","11,676","1,685",28,"130,705","130,705","8,575","13,702","12,717","15,950","20,666","21,384","19,339","13,122","4,816",432,2,"141,110","141,110","8,178","12,726","12,379","15,997","21,390","22,669","23,098","16,534","6,860","1,253",26
부산광역시 남구 (2629000000),"253,913","253,913","12,465","22,463","30,398","27,789","34,987","41,641","40,107","29,402","12,870","1,763",28,"123,206","123,206","6,413","11,433","15,926","14,370","17,409","20,603","18,551","12,925","5,124",449,3,"130,707","130,707","6,052","11,030","14,472","13,419","17,578","21,038","21,556","16,477","7,746","1,314",25
부산광역시 북구 (2632000000),"261,316","261,316","12,870","20,179","24,178","31,190","33,400","44,908","52,073","29,805","11,106","1,572",35,"127,999","127,999","6,644","10,398","12,920","16,486","17,117","21,120","24,930","13,804","4,231",348,1,"133,317","133,317","6,226","9,781","11,258","14,704","16,283","23,788","27,143","16,001","6,875","1,224",34
부산광역시 해운대구 (2635000000),"371,143","371,143","19,923","34,717","34,776","41,160","55,039","65,266","62,022","39,151","16,487","2,549",53,"177,629","177,629","10,186","17,930","18,018","20,691","26,578","30,857","28,897","17,575","6,245",638,14,"193,514","193,514","9,737","16,787","16,758","20,469","28,461","34,409","33,125","21,576","10,242","1,911",39
부산광역시 사하구 (2638000000),"283,258","283,258","11,819","22,632","28,481","29,841","38,304","48,519","53,597","35,118","13,112","1,785",50,"140,331","140,331","6,060","11,618","15,340","16,144","19,977","24,047","25,506","16,164","5,066",402,7,"142,927","142,927","5,759","11,014","13,141","13,697","18,327","24,472","28,091","18,954","8,046","1,383",43
부산광역시 금정구 (2641000000),"205,880","205,880","7,732","15,540","25,501","20,491","24,960","33,301","38,499","26,795","11,285","1,738",38,"99,994","99,994","3,877","7,805","13,758","11,062","12,617","16,049","17,973","11,923","4,483",441,6,"105,886","105,886","3,855","7,735","11,743","9,429","12,343","17,252","20,526","14,872","6,802","1,297",32
부산광역시 강서구 (2644000000),"152,826","152,826","16,724","18,394","10,575","24,206","31,851","19,025","17,813","10,239","3,426",562,11,"78,988","78,988","8,533","9,428","5,767","12,354","17,071","10,392","8,828","5,147","1,354",112,2,"73,838","73,838","8,191","8,966","4,808","11,852","14,780","8,633","8,985","5,092","2,072",450,9
부산광역시 연제구 (2647000000),"211,491","211,491","12,127","17,192","21,173","28,436","30,782","33,530","33,542","23,700","9,674","1,307",28,"100,653","100,653","6,179","8,699","10,377","14,163","15,204","16,071","15,250","10,463","3,906",337,4,"110,838","110,838","5,948","8,493","10,796","14,273","15,578","17,459","18,292","13,237","5,768",970,24
부산광역시 수영구 (2650000000),"168,577","168,577","7,266","11,394","19,147","22,886","22,751","26,001","27,517","21,195","9,072","1,323",25,"78,924","78,924","3,683","5,876","8,970","11,622","11,251","12,321","12,014","9,108","3,726",351,2,"89,653","89,653","3,583","5,518","10,177","11,264","11,500","13,680","15,503","12,087","5,346",972,23
부산광역시 사상구 (2653000000),"192,901","192,901","7,169","13,203","20,818","22,427","23,699","32,945","40,226","23,464","7,924","1,004",22,"96,297","96,297","3,765","6,683","10,707","12,313","12,505","16,495","19,822","10,814","2,997",194,2,"96,604","96,604","3,404","6,520","10,111","10,114","11,194","16,450","20,404","12,650","4,927",810,20
부산광역시 기장군 (2671000000),"175,267","175,267","12,177","20,020","14,540","20,198","31,059","28,370","23,949","16,798","7,027","1,094",35,"86,880","86,880","6,245","10,265","7,835","10,484","15,595","14,540","11,406","7,560","2,703",244,3,"88,387","88,387","5,932","9,755","6,705","9,714","15,464","13,830","12,543","9,238","4,324",850,32
대구광역시  (2700000000),"2,349,360","2,349,360","131,987","212,646","248,823","285,394","332,593","409,460","381,795","228,635","101,182","16,543",302,"1,150,292","1,150,292","67,793","108,867","130,473","151,985","166,326","199,640","182,393","101,311","37,310","4,149",45,"1,199,068","1,199,068","64,194","103,779","118,350","133,409","166,267","209,820","199,402","127,324","63,872","12,394",257
대구광역시 중구 (2711000000),"101,576","101,576","8,204","7,559","13,595","18,393","15,007","14,269","11,441","8,138","4,225",725,20,"48,547","48,547","4,218","3,735","6,159","9,323","7,720","6,920","5,332","3,374","1,561",202,3,"53,029","53,029","3,986","3,824","7,436","9,070","7,287","7,349","6,109","4,764","2,664",523,17
대구광역시 동구 (2714000000),"338,262","338,262","18,738","25,889","33,238","44,126","46,155","55,629","56,583","38,001","17,207","2,647",49,"165,087","165,087","9,648","13,369","17,339","23,594","23,641","27,384","26,397","16,606","6,411",690,8,"173,175","173,175","9,090","12,520","15,899","20,532","22,514","28,245","30,186","21,395","10,796","1,957",41
대구광역시 서구 (2717000000),"163,811","163,811","6,834","9,750","14,305","19,651","19,523","28,263","33,668","21,469","9,044","1,281",23,"81,029","81,029","3,530","4,886","7,593","11,000","10,527","14,410","16,223","9,293","3,295",271,1,"82,782","82,782","3,304","4,864","6,712","8,651","8,996","13,853","17,445","12,176","5,749","1,010",22
